source,setup,lat,lon,error_km,pred_country,ok,fallback_00,finish,cost_usd,prompt_tokens,completion_tokens,reasoning_tokens,latency_s,raw_text
google/gemini-3.5-flash,CoT (effort=low),63.8412,-22.2715,323.273,IS,True,,stop,0.004293,1272,265,199,3.24,"{""reasoning"": ""The volcanic lava field landscape, yellow-backed road signs, and distinctive yellow cylindrical bollards are characteristic of Iceland, specifically resembling the Reykjanes Peninsula."", ""country"": ""IS"", ""latitude"": 63.8412, ""longitude"": -22.2715}"
mistralai/mistral-medium-3-5,no-CoT,63.9948,-22.5859,324.753,IS,True,,stop,0.0011835,634,31,0,1.17,"{""country"": ""IS"", ""latitude"": 63.9948, ""longitude"": -22.5859}"
openai/gpt-5.5,no-CoT,63.8845,-22.4262,326.059,IS,True,,stop,0.00344,544,24,0,1.98,"{""country"":""IS"",""latitude"":63.8845,""longitude"":-22.4262}"
moonshotai/kimi-k2.6,CoT,63.8792,-22.4458,327.176,IS,True,,stop,0.011243988,682,3217,3137,180.93,"{""reasoning"": ""The yellow signpost bases paired with Nordic-style triangular warning and circular speed-limit signs are distinctive of Iceland, while the flat, dark volcanic lava fields with sparse moss match the Reykjanes Peninsula near Keflavík/Grindavík."", ""country"": ""IS"", ""latitude"": 63.8792, ""longitude"": -22.4458}"
google/gemini-3.1-pro-preview,CoT,63.8812,-22.4531,327.315,IS,True,,stop,0.00588,1272,278,196,4.44,"{
  ""reasoning"": ""The yellow center lines, yellow bollards, and yellow warning signs with red borders are characteristic of Iceland. The barren volcanic landscape with dark lava rocks strongly suggests the Reykjanes peninsula."",
  ""country"": ""IS"",
  ""latitude"": 63.8812,
  ""longitude"": -22.4531
}"
openai/gpt-5.5,CoT,63.8721,-22.4556,328.044,IS,True,,stop,0.012255,621,305,223,9.04,"{""reasoning"":""Yellow-red Icelandic warning signs, yellow roadside marker posts, right-side driving and treeless black lava-field terrain point strongly to Iceland, likely the Reykjanes Peninsula. The barren volcanic landscape and low coastal hills resemble roads around Grindavík/Blue Lagoon."",""country"":""IS"",""latitude"":63.8721,""longitude"":-22.4556}"
minimax/minimax-m3,CoT,63.85,-22.45,329.38,IS,True,,stop,0.00055626,843,304,215,16.73,"{""reasoning"": ""Volcanic lava fields, barren mossy terrain, Icelandic-style triangular warning signs with red border and yellow diamond priority sign, overcast Nordic weather, and right-hand traffic on a rural highway all strongly indicate Iceland, likely on the Reykjanes peninsula where lava fields border Route 41/425."", ""country"": ""IS"", ""latitude"": 63.85, ""longitude"": -22.45}"
mistralai/mistral-small-2603,no-CoT,39.7392,-104.9903,5965.028,US,True,,stop,0.0001143,634,32,0,3.35,"{""country"": ""US"", ""latitude"": 39.7392, ""longitude"": -104.9903}"
google/gemma-4-26b-a4b-it,no-CoT,0.0,0.0,7420.824,,True,True,,,,,,19.44,
xiaomi/mimo-v2.5,CoT,20.736,-156.243,9818.967,US,True,,stop,0.0011677176,787,3871,3775,49.49,"{""reasoning"": ""The double yellow road lines and yellow diamond bicycle warning sign indicate a location in the United States. The distinctive terrain featuring dark, blocky lava rock mixed with reddish volcanic soil is highly characteristic of the high-altitude volcanic slopes on Maui, Hawaii, likely the road leading up Haleakala."", ""country"": ""US"", ""latitude"": 20.736, ""longitude"": -156.243}"
xiaomi/mimo-v2.5,no-CoT,19.6399,-155.5053,9915.434,US,True,,stop,8.17376e-05,708,32,0,1.17,"{""country"": ""US"", ""latitude"": 19.6399, ""longitude"": -155.5053}"
google/gemma-4-26b-a4b-it,CoT,,,,,False,,,,,,,6.88,
google/gemma-4-31b-it,CoT,,,,,False,,,,,,,1.19,
mistralai/mistral-medium-3-5,CoT,,,,,False,,,,,,,16.6,
mistralai/mistral-small-2603,CoT,,,,,False,,,,,,,1.1,
qwen/qwen3.5-397b-a17b,CoT,,,,,False,,,,,,,1.1,
qwen/qwen3.6-27b,CoT,,,,,False,,,,,,,0.1,
qwen/qwen3.6-35b-a3b,CoT,,,,,False,,,,,,,0.17,
